data_publicacao,titulo,link,texto_completo
2025-07-23,Título não encontrado,https://amb.org.br/noticias/jornal-do-medico-19-07-2025-3o-congresso-de-medicina-geral-da-amb-contara-com-a-participacao-de-mais-de-300-palestrantes-renomados-de-todas-as-especialidades-da-medicina/,"Com um formato mais completo e moderno, o 3º Congresso de Medicina Geral (CMG 2025), realizado pela Associação Médica Brasileira (AMB)chega em sua terceira edição, com discussão de temas exclusivos que serão compartilhados por mais de 300 palestrantes renomados de todas as especialidades da Medicina. Entre os temas de destaques este ano teremos palestras sobre:
‘Como Abordar na Emergência Tentativas de Suicídio’
,
‘Como Tratar Depressão em Adultos e Idosos?’
,
‘A Sequência Rápida de Intubação – Como Fazer?’
e
‘Ultrassom Beira Leito na Emergência – Respondendo Perguntas de Forma Rápida’
, entre outros. O congresso será realizado novamente no Distrito Anhembi, entre os dias
24 e 26 de julho
próximos. Inscrições podem ser feiras pelo site
clicando aqui.
Confira a programação completa do 3º Congresso de Medicina Geral 2025
O CMG 2025 tem como proposta central capacitar e atualizar os médicos sobre o cenário atual da Medicina no Brasil, além de apresentar novas ferramentas de trabalho e destacar o papel fundamental do médico generalista para o sistema de Saúde, que, em geral, é o primeiro contato dos pacientes. Com a participação de todas as 55 especialidades médicas, o evento contará com eixos temáticos atualizados e conectados com as principais demandas diárias dos médicos generalistas, que atuam na linha de frente das unidades de saúde do Brasil.
“Teremos no Congresso de Medicina Geral da AMB deste ano, o compartilhamento de conhecimento e ferramentas voltadas à Medicina Geral, com a participação de grandes nomes do segmento do país, de todas as 54 sociedades de especialidades médicas. Será um encontro grandioso, que só tem a agregar, com debates sobre as principais tendências da Medicina na atualidade. Será um encontro único”
, explicou o presidente da AMB, Dr. César Eduardo Fernandes.
Além do Dr. César, fazem parte da comissão organizadora, os diretores da AMB e coordenadores científicos do Congresso, Dr. Fernando Sabia Tallo e Dr. José Eduardo Dolci.
Durante três dias de imersão intensa, os participantes terão acesso a mais de 100 horas de conteúdo, com aulas, cursos hands-on e discussões de casos clínicos. O evento também contará com sete auditórios paralelos que receberão mesas redondas, com atividades como simpósios satélites, análises e debates de importantes casos clínicos.  O evento contará com apoiadores estratégicos, como Ministério da Saúde, Agência Brasileira de Apoio à Gestão do Sistema Único de Saúde (AgSUS), Conselho Nacional de Secretarias municipais de Saúde (Conasems), Conselho Nacional dos Secretários de Saúde (Conass), além de patrocinadores e apoiadores de diversos segmentos.
E ainda uma arena central, que possibilitará aos profissionais ampliar o networking na troca de impressões sobre os desafios enfrentados no cotidiano da assistência médica. A edição do CMG deste ano contará com um total de 2 mil mil lugares disponíveis distribuídos nos auditórios, 60 estandes e 80 lugares reservados na arena silenciosa.
MAIS TEMAS
Durante os três dias serão discutidos diversos temas cruciais para médicos que atuam na linha de frente. São alguns deles: medicina de tráfego, medicina aeroespacial, intolerâncias alimentares, o que o médico generalista precisa saber sobre infecções sexualmente transmissível, crise epiléptica na emergência, avanços da inteligência artificial na patologia, como abordar a dor torácica na sala de emergência, direito médico, quais as dependências químicas da atualidade, entre outros.
Dr. José Eduardo Dolci, que também é membro da coordenação do evento e diretor científico da AMB, ressalta a importância da relação que será criada entre médicos generalistas e médicos especialistas durante o congresso.
“O nosso objetivo enquanto médicos especialistas e como representantes da AMB é levar para o médico generalista conhecimentos básicos e necessários de cada especialidade. No caso da Otorrinolaringologia, os congressistas saberão sobre os casos de doenças mais prevalentes nessa área, e, sem dúvida, são situações que eles vão se deparar de forma constantes durante os seus plantões nas unidades de saúde. Então, o médico generalista precisa estar atualizado, pois a medicina segue avançando junto à ciência”
, avalia ele.
Para o Dr. Fernando Tallo, o CMG 2025,  é um momento extraordinário e único de capacitação.
“Para o médico generalista, aqueles que pretendem fazer residência e ou alguma especialidade ou quem está nos atendimentos das UPAS, pronto socorro é uma oportunidade especial para ter contato com todas as especialidades da Medicina”,
explicou o diretor da AMB e membro da comissão organizadora.
TRABALHOS CIENTÍFICOS
Após rigorosa análise, feita por médicos especialistas, estudantes, pesquisadores e profissionais da medicina apresentarão seus trabalhos científicos com temas livres em uma das 55 áreas disponíveis. Uma oportunidade única para que os participantes apresentem um produto autoral, que terá visibilidade nacional, além de concorrer a prêmios.
Os três trabalhos eleitos como os melhores ganharão:
1º lugar: R$ 10.000,00 (dez mil reais) + Certificado Especial
2º lugar: R$ 5.000,00 (cinco mil reais) + Certificado Especial
3º lugar: R$ 2.500,00 (dois mil e quinhentos reais) + Certificado Especial
SOBRE A AMB
Associação Médica Brasileria (AMB) é uma entidade, sem fins lucrativos fundada há mais de 70 anos, com o papel de trabalhar para que o exercício da medicina no Brasil seja respeitado e feito com seriedade e qualidade, por meio de pesquisas científicas, atualizações, da qualificação dos profissionais e de uma estrutura de ponta que possibilite o cuidado adequado da saúde dos milhões de brasileiros e brasileiras. A entidade congrega 27 Federadas e todas as 54 Sociedades de Especialidades Médicas, além de contar com mais de 50 mil associados em todo o país.
SERVIÇO
3º CONGRESSO DE MEDICINA GERAL – CMG 2025
Realização:
Associação Médica Brasileira (AMB)
Local:
Distrito Anhembi – Rua Professor Milton Rodrigues, s/n – Santana, São Paulo/SP
Data:
24 a 26 de julho de 2025
Horário:
das 8h às 18 horas (quinta e sexta-feira) e das 9h às 13h (sábado)
Público-alvo:
médicos generalistas, médicos residentes, médicos em geral, estudantes de Medicina.
Informações / Inscrições:
www.congressogeralamb.com.br"
2025-07-23,Título não encontrado,https://amb.org.br/noticias/jornal-empresas-negocios-medicina-geral-cmg-2025/,"O 3º Congresso de Medicina Geral, realizado pela Associação Médica Brasileira (AMB) chega em sua terceira edição, com discussão de temas que serão compartilhados por mais de 300 palestrantes de todas as especialidades da Medicina. Entre os temas teremos palestras sobre: ‘Como Abordar na Emergência Tentativas de Suicídio’, ‘Como Tratar Depressão em Adultos e Idosos?’, ‘A Sequência Rápida de Intubação – Como Fazer?’ e ‘Ultrassom Beira Leito na Emergência – Respondendo Perguntas de Forma Rápida’, entre outros. Acontece no Distrito Anhembi, entre os próximos dias 24 e 26. Inscrições pelo site (
www.congressogeralamb.com.br
)."
2025-07-23,Título não encontrado,https://amb.org.br/noticias/portal-medicina-e-saude-22-07-2025-3o-congresso-de-medicina-geral-da-amb-contara-com-a-participacao-de-mais-de-300-palestrantes-renomados/,"Dr. César Eduardo Fernandes: será um encontro grandioso, que só tem a agregar, com debates sobre as principais tendências da Medicina na atualidade”
Com um formato mais completo e moderno, o
3º
Congresso de Medicina Geral (CMG 2025),
realizado pela
Associação Médica Brasileira (AMB)
chega em sua terceira edição, com discussão de temas exclusivos que serão compartilhados por mais de 300 renomados palestrantes de todas as especialidades da Medicina. Entre os temas de destaques este ano estão palestras sobre
Como Abordar na Emergência Tentativas de Suicídio
,
Como Tratar Depressão em Adultos e Idosos?
A Sequência Rápida de Intubação – Como Fazer?
E
Ultrassom Beira Leito na Emergência – Respondendo Perguntas de Forma Rápida
, entre outros. O congresso será realizado novamente no Distrito Anhembi, entre os dias 24 e 26 de julhopróximos.
Conforme destaca o presidente da AMB, Dr. César Eduardo Fernandes, o evento tem como proposta central capacitar e atualizar os médicos sobre o cenário atual da Medicina no Brasil, além de apresentar novas ferramentas de trabalho e destacar o papel fundamental do médico generalista para o sistema de Saúde, que, em geral, é o primeiro contato dos pacientes. Com a participação de todas as 55 especialidades médicas, o evento contará com eixos temáticos atualizados e conectados com as principais demandas diárias dos médicos generalistas, que atuam na linha de frente das unidades de saúde do Brasil.
“Teremos no Congresso de Medicina Geral da AMB deste ano, o compartilhamento de conhecimento e ferramentas voltadas à Medicina Geral, com a participação de grandes nomes do segmento do país, de todas as 54 sociedades de especialidades médicas. Será um encontro grandioso, que só tem a agregar, com debates sobre as principais tendências da Medicina na atualidade, enfatiza.
Além do Dr. César, fazem parte da comissão organizadora, os diretores da AMB e coordenadores científicos do Congresso, Dr. Fernando Sabia Tallo e Dr. José Eduardo Dolci.
Durante três dias de imersão intensa, os participantes terão acesso a mais de 100 horas de conteúdo, com aulas, cursos
hands-on
e discussões de casos clínicos. O evento também contará com sete auditórios paralelos com mesas redondas, atividades como simpósios satélites, análises e debates de importantes casos clínicos.  O evento contará com apoiadores estratégicos, como Ministério da Saúde, Agência Brasileira de Apoio à Gestão do Sistema Único de Saúde (AgSUS), Conselho Nacional de Secretarias municipais de Saúde (CONASEMS), Conselho Nacional dos Secretários de Saúde (CONASS), além de patrocinadores e apoiadores de diversos segmentos. Terá ainda uma arena central, que possibilitará aos profissionais ampliar o
networking
na troca de impressões sobre os desafios enfrentados no cotidiano da assistência médica.
A edição do CMG deste ano contará com um total de 2 mil lugares disponíveis distribuídos nos auditórios, 60 estandes e 80 lugares reservados na arena silenciosa.
SERVIÇO =
3º CONGRESSO DE MEDICINA GERAL – CMG 2025
Realização:
Associação Médica Brasileira (AMB)
Local:
Distrito Anhembi – Rua Professor Milton Rodrigues, s/n – Santana, São Paulo/SP
Data:
24 a 26 de julho de 2025
Horário:
das 8h às 18 horas (quinta e sexta-feira) e das 9h às 13h (sábado)
Público-alvo:
médicos generalistas, médicos residentes, médicos em geral, estudantes de Medicina."
2025-07-23,Título não encontrado,https://amb.org.br/noticias/jornal-empresas-negocios-cmg-2025-19-a-21-07-2025/,
2025-07-23,Título não encontrado,https://amb.org.br/noticias/saude-debate-18-07-2024-3o-congresso-de-medicina-geral-da-amb-comeca-na-proxima-quinta-feira-amb/,"Dos dias 24 a 26 de julho a Associação Médica Brasileira promove, em São Paulo, o
3º Congresso de Medicina Geral da AMB.
O Conasems terá participação no dia 24 na abertura do Congresso e na moderação da mesa Caminhos da Formação Médica, com o presidente do Conasems Hisham Hamida. No dia 25, a instituição participa com representação do secretário executivo do Conasems, Mauro Junqueira, na mesa “Marcos motores e doenças neuromusculares: diagnóstico e intervenção precoce na infância”.
O
Congresso da AMB
é dedicado exclusivamente à capacitação e atualização de médicos generalistas e conta com mais de 300 palestrantes da área. Em 2024 o número de médicos generalistas no Brasil chegou a 244 mil, cerca de 40% dos médicos em atividade no país.
“ A Atenção Básica de Saúde representa parte valiosa e relevante no nosso sistema. Essa é uma rede que precisa ser bem estruturada. Nós da AMB identificamos que não havia congresso de atualização para o Médico Generalista e com isso criamos este. O Congresso de Medicina Geral reúne médicos de diferente especialidade para que selecionem temas de relevância para médicos com atuação geral e assim repassem o conhecimento de forma palatável para esses profissionais” , explica César Fernandes, Presidente da AMB.
“O Conasems tem defendido a melhoria da formação e da capacitação de médicos brasileiros. O que observamos na ponta é uma formação cada vez mais deficiente que tem impactado na qualidade do cuidado. Processos formativos como esse que a AMB promove no seu Congresso trazem grande impacto”, ressalta o presidente do Conasems, Hisham Hamida.
Por acordo da AMB com o Conasems, médicos que atuam na rede pública interessados em participar do evento podem se inscrever com 50% de desconto, utilizando o cupom CONASEMSCMG50, mediante a apresentação do número do CRM.
Confira o programa Conasems Em pauta sobre o assunto!"
2025-07-21,Título não encontrado,https://amb.org.br/noticias/diretoria-da-amb-recebe-novo-presidente-da-sociedade-brasileira-de-pediatria-nesta-segunda-feira-21/,"O presidente da Associação Médica Brasileira (AMB), Dr. César Eduardo Fernandes, e o diretor científico da entidade médica, Dr. José Eduardo Dolci, receberam o novo presidente da Sociedade Brasileira de Pediatria (SBP), Dr. Edson Ferreira Liberal, na tarde desta segunda-feira (21), na sede da AMB. Ele assumiu há pouco mais de um mês a SBP.
O objetivo do encontro foi manter e aprofundar laços institucionais e fortalecer pautas prioritárias voltadas à saúde de crianças e adolescentes. Entre os temas abordados, destacou-se a importância da reintrodução do pediatra nos serviços da Atenção Básica, como estratégia para ampliar o cuidado qualificado e resolutivo às crianças desde os primeiros anos de vida.
Segundo o presidente da SBP, embora os programas nacionais contem com médicos generalistas, a presença do especialista na Atenção Primária traz um olhar clínico mais apurado para aspectos específicos da criança e do adolescente, como crescimento e desenvolvimento, vacinação, nutrição, diagnóstico precoce de doenças e acompanhamento de condições crônicas.
“
O atendimento realizado por especialistas contribui para reduzir encaminhamentos desnecessários, desafogar os serviços de média e alta complexidade e oferecer um cuidado mais integral e humanizado às famílias”
, defendeu o dr. Edson Liberal.
Outro tema central da reunião foi a queda na cobertura vacinal infantil nos últimos anos, o que tem alarmado especialistas e gestores de saúde pública. A SBP e a AMB reforçaram a necessidade de união de esforços para recuperar os índices de vacinação e evitar o retorno de doenças graves já controladas ou erradicadas no Brasil.
“A alta cobertura vacinal forma uma barreira de proteção coletiva, protegendo inclusive aqueles que, por contraindicação médica, não podem ser imunizados. A ampliação da vacinação representa não apenas um benefício à saúde individual, mas um compromisso com a equidade e com os princípios do Sistema Único de Saúde (SUS)
”, ressaltou.
O presidente da AMB, Dr. César Eduardo Fernandes, destacou a importância da visita e reafirmou a parceria histórica entre as entidades em defesa de causas comuns.
“Temos uma relação muito amistosa e acolhedora, pautada na parceria e no respeito mútuo. Ao longo desse tempo, o crescimento da Pediatria caminhou lado a lado com os avanços na gestão e organização da AMB. Por isso, a Pediatria tem um papel relevante nessa trajetória de fortalecimento institucional
.
Ficamos muito felizes com a sua estada conosco, e saiba que esta Casa tem sempre as portas abertas”
, destacou ele.
No campo da formação profissional, a SBP também abordou a necessidade de fortalecer a residência médica em Pediatria, com programas bem estruturados, distribuídos regionalmente e que assegurem uma formação prática, intensiva e supervisionada. Segundo o dr. Edson Liberal, os próximos passos da parceria entre a SBP e a AMB incluem a construção de uma proposta conjunta concreta, com metas e estratégias definidas para a promoção da saúde da criança e do adolescente.
“
Quando conselhos, associações, sociedades de especialidade e instituições de ensino atuam de forma integrada, é possível alinhar pautas, compartilhar boas práticas e ampliar a influência técnica e política no fortalecimento da medicina brasileira”
, afirmou o presidente da SBP.
Também participaram da reunião o diretor administrativo da AMB, Dr. Akira Ishida e a 1ª secretária da associação, Dra. Maria Rita de Souza Mesquita.
Assessoria de Comunicação da AMB"
2025-07-18,Título não encontrado,https://amb.org.br/noticias/3o-congresso-de-medicina-geral-da-amb-comeca-na-proxima-quinta-feira/,"Dos dias 24 a 26 de julho a Associação Médica Brasileira promove, em São Paulo, o
3º Congresso de Medicina Geral da AMB.
O Conasems terá participação no dia 24 na abertura do Congresso e na moderação da mesa Caminhos da Formação Médica, com o presidente do Conasems Hisham Hamida. No dia 25, a instituição participa com representação do secretário executivo do Conasems, Mauro Junqueira, na mesa “Marcos motores e doenças neuromusculares: diagnóstico e intervenção precoce na infância”.
O
Congresso da AMB
é dedicado exclusivamente à capacitação e atualização de médicos generalistas e conta com mais de 300 palestrantes da área. Em 2024 o número de médicos generalistas no Brasil chegou a 244 mil, cerca de 40% dos médicos em atividade no país.
“ A Atenção Básica de Saúde representa parte valiosa e relevante no nosso sistema. Essa é uma rede que precisa ser bem estruturada. Nós da AMB identificamos que não havia congresso de atualização para o Médico Generalista e com isso criamos este. O Congresso de Medicina Geral reúne médicos de diferente especialidade para que selecionem temas de relevância para médicos com atuação geral e assim repassem o conhecimento de forma palatável para esses profissionais” , explica César Fernandes, Presidente da AMB.
“O Conasems tem defendido a melhoria da formação e da capacitação de médicos brasileiros. O que observamos na ponta é uma formação cada vez mais deficiente que tem impactado na qualidade do cuidado. Processos formativos como esse que a AMB promove no seu Congresso trazem grande impacto”, ressalta o presidente do Conasems, Hisham Hamida.
Por acordo da AMB com o Conasems, médicos que atuam na rede pública interessados em participar do evento podem se inscrever com 50% de desconto, utilizando o cupom CONASEMSCMG50, mediante a apresentação do número do CRM.
Confira o programa Conasems Em pauta sobre o assunto!"
2025-07-17,Título não encontrado,https://amb.org.br/noticias/3o-congresso-de-medicina-geral-da-amb-de-2025-contara-com-a-participacao-de-mais-de-300-palestrantes-renomados-de-todas-as-especialidades-da-medicina/,"O evento chega em sua terceira edição com temas exclusivos relacionados ao segmento e este ano contará com a participação do Ministério da Saúde
Com um formato mais completo e moderno, o
3º
Congresso de Medicina Geral (CMG 2025),
realizado pela
Associação Médica Brasileira (AMB)
chega em sua terceira edição, com discussão de temas exclusivos que serão compartilhados por mais de 300 palestrantes renomados de todas as especialidades da Medicina. Entre os temas de destaques este ano teremos palestras sobre:
‘Como Abordar na Emergência Tentativas de Suicídio’
,
‘Como Tratar Depressão em Adultos e Idosos?’
,
‘A Sequência Rápida de Intubação – Como Fazer?’
e
‘Ultrassom Beira Leito na Emergência – Respondendo Perguntas de Forma Rápida’
, entre outros.
O congresso será realizado novamente no Distrito Anhembi, entre os dias
24 e 26 de julho
próximos.  Inscrições podem ser feiras pelo site
www.congressogeralamb.com.br
Confira a programação completa do 3º Congresso de Medicina Geral 2025
O CMG 2025 tem como proposta central capacitar e atualizar os médicos sobre o cenário atual da Medicina no Brasil, além de apresentar novas ferramentas de trabalho e destacar o papel fundamental do médico generalista para o sistema de Saúde, que, em geral, é o primeiro contato dos pacientes. Com a participação de todas as 55 especialidades médicas, o evento contará com eixos temáticos atualizados e conectados com as principais demandas diárias dos médicos generalistas, que atuam na linha de frente das unidades de saúde do Brasil.
“Teremos no Congresso de Medicina Geral da AMB deste ano, o compartilhamento de conhecimento e ferramentas voltadas à Medicina Geral, com a participação de grandes nomes do segmento do país, de todas as 54 sociedades de especialidades médicas. Será um encontro grandioso, que só tem a agregar, com debates sobre as principais
tendências da Medicina na atualidade. Será um encontro único”
, explicou o presidente da AMB, Dr. César Eduardo Fernandes.
Além do Dr. César, fazem parte da comissão organizadora, os diretores da AMB e coordenadores científicos do Congresso, Dr. Fernando Sabia Tallo e Dr. José Eduardo Dolci.
Durante três dias de imersão intensa, os participantes terão acesso a mais de 100 horas de conteúdo, com aulas, cursos hands-on e discussões de casos clínicos. O evento também contará com sete auditórios paralelos que receberão mesas redondas, com atividades como simpósios satélites, análises e debates de importantes casos clínicos.  O evento contará com apoiadores estratégicos, como Ministério da Saúde, Agência Brasileira de Apoio à Gestão do Sistema Único de Saúde (AgSUS), Conselho Nacional de Secretarias municipais de Saúde (Conasems), Conselho Nacional dos Secretários de Saúde (Conass), além de patrocinadores e apoiadores de diversos segmentos.
E ainda uma arena central, que possibilitará aos profissionais ampliar o networking na troca de impressões sobre os desafios enfrentados no cotidiano da assistência médica. A edição do CMG deste ano contará com um total de
2 mil mil lugares disponíveis distribuídos nos auditórios, 60 estandes e 80 lugares reservados na arena silenciosa.
MAIS TEMAS
Durante os três dias serão discutidos diversos temas cruciais para médicos que atuam na linha de frente. São alguns deles: medicina de tráfego, medicina aeroespacial, intolerâncias alimentares, o que o médico generalista precisa saber sobre infecções sexualmente transmissível, crise epiléptica na emergência, avanços da inteligência artificial na patologia, como abordar a dor torácica na sala de emergência, direito médico, quais as dependências químicas da atualidade, entre outros.
Dr. José Eduardo Dolci, que também é membro da coordenação do evento e diretor científico da AMB, ressalta a importância da relação que será criada entre médicos generalistas e médicos especialistas durante o congresso.
“O nosso objetivo enquanto médicos especialistas e como representantes da AMB é levar para o médico generalista conhecimentos básicos e necessários de cada especialidade. No caso da Otorrinolaringologia, os congressistas saberão sobre os casos de doenças mais prevalentes nessa área, e, sem dúvida, são situações que eles vão se deparar de forma constantes durante os seus plantões nas unidades de saúde. Então, o médico generalista precisa estar atualizado, pois a medicina segue avançando junto à ciência”
, avalia ele.
Para o Dr. Fernando Tallo, o CMG 2025,  é um momento extraordinário e único de capacitação.
“Para o médico generalista, aqueles que pretendem fazer residência e ou alguma especialidade ou quem está nos atendimentos das UPAS, pronto socorro é uma oportunidade especial para ter contato com todas as especialidades da Medicina”,
explicou o diretor da AMB e membro da comissão organizadora.
TRABALHOS CIENTÍFICOS
Após rigorosa análise, feita por médicos especialistas, estudantes, pesquisadores e profissionais da medicina apresentarão seus trabalhos científicos com temas livres em uma das 55 áreas disponíveis. Uma oportunidade única para que os participantes apresentem um produto autoral, que terá visibilidade nacional, além de concorrer a prêmios.
Os três trabalhos eleitos como os melhores ganharão:
●
1º lugar: R$ 10.000,00 (dez mil reais) + Certificado Especial
●
2º lugar: R$ 5.000,00 (cinco mil reais) + Certificado Especial
●
3º lugar: R$ 2.500,00 (dois mil e quinhentos reais) + Certificado Especial
SOBRE A AMB
AMB é uma entidade, sem fins lucrativos fundada há mais de 70 anos, com o papel de trabalhar para que o exercício da medicina no Brasil seja respeitado e feito com seriedade e qualidade, por meio de pesquisas científicas, atualizações, da qualificação dos profissionais e de uma estrutura de ponta que possibilite o cuidado adequado da saúde dos milhões de brasileiros e brasileiras. A entidade congrega 27 Federadas e todas as 54 Sociedades de Especialidades Médicas, além de contar com mais de 50 mil associados em todo o país.
SERVIÇO
3º CONGRESSO DE MEDICINA GERAL – CMG 2025
Realização:
Associação Médica Brasileira (AMB)
Local:
Distrito Anhembi – Rua Professor Milton Rodrigues, s/n – Santana, São Paulo/SP
Data:
24 a 26 de julho de 2025
Horário:
das 8h às 18 horas (quinta e sexta-feira) e das 9h às 13h (sábado)
Público-alvo:
médicos generalistas, médicos residentes, médicos em geral, estudantes de Medicina.
Informações / Inscrições:
www.congressogeralamb.com.br"
2025-07-17,Título não encontrado,https://amb.org.br/noticias/conasems-estara-presente-no-3o-congresso-de-medicina-geral-da-amb/,"Durante a cerimônia de premiação da Mostra “Brasil, Aqui Tem SUS”, realizada no XXXVIII Congresso do Conasems, em Belo Horizonte (MG), a Associação Médica Brasileira (AMB) e o Conselho Nacional de Secretarias Municipais de Saúde (Conasems) firmaram acordo de cooperação referente ao 3º Congresso de Medicina Geral da AMB. Na ocasião, Flávia Queiroz e o presidente do Conasems Hisham Hamida fizeram a assinatura do termo na Arena do Congresso.
O Congresso da AMB, que ocorre de 24 a 26 de julho em São Paulo, é dedicado exclusivamente à capacitação e atualização de médicos generalistas. O evento contará com a participação do presidente do Conasems Hisham Hamida e do secretário executivo Mauro Junqueira, assim como com mais de 300 palestrantes da área.
O acordo de cooperação com o Conasems possibilita que médicos que atuam na rede pública interessados em participar do evento façam inscrição com 50% de desconto, utilizando o cupom CONASEMSCMG50, mediante a apresentar o número do CRM."
2025-07-16,Título não encontrado,https://amb.org.br/noticias/com-forte-atuacao-da-amb-sociedades-de-especialidades-medicas-e-federadas-requerimento-de-urgencia-do-projeto-de-lei-785-2024-e-aprovado-na-camara-dos-deputados/,"Mais uma vitória da Associação Médica Brasileira (AMB), das Sociedades de Especialidades Médicas e Federadas, pois acaba de ser aprovado, na noite desta quarta-feira (16), na Câmara dos Deputados, o requerimento de urgência do Projeto de Lei 785/2024, do deputado Doutor Luizinho, que institui o Exame Nacional de Proficiência em Medicina. Com a aprovação do regime de urgência, o projeto não precisa mais tramitar pelas comissões. Será apreciado diretamente pelo plenário da Câmara, e se aprovado, encaminhado ao Senado.
Na última segunda-feira (15), foi enviada uma carta pela Associação Médica Brasileira, bem como suas Sociedades de Especialidades Médicas e Federadas, para sensibilizar os deputados federais a votar a favor do requerimento de urgência do PL 785/2024.
O exame, que tem o apoio Associação Médica Brasileira (AMB) e de diversas entidades médicas, é um projeto de lei que visa instituir uma prova obrigatória para médicos recém-formados, com o objetivo de garantir que possuam a qualificação necessária para exercer a profissão.
“A abertura indiscriminada de escolas médicas no país não respeita a qualificação da formação profissional, carece de fundamentação técnica e do conhecimento sobre a realidade do ensino médico e da assistência”, avalia o presidente da AMB, César Eduardo Fernandes.
“Hoje conseguimos uma grande vitória. Seguiremos atuantes para que esse projeto de lei seja aprovado, para que tenhamos médicos e médicas capacitados e atualizados, para que possam realizar um atendimento de qualidade aos pacientes”, ressaltou Dr. César.
Assessoria de Comunicação da AMB"
